wallet,wallet_type,n_participations,pnl
0x8d0c615f5ed3c835016b96207b3f051eec7d5839,bot,1101,91636.691447
0xbe6254080d54539d405e4b654fc5a88d976108af,bot,1585,16978.393258000004
0xce5f8eab5e256f5bdd653a97af36000906b6deb1,bot,910,12794.078957000009
0x9a641f48b90f1df11e1aa7358ec0c4e8e7ba48de,bot,235,23241.156733000003
0xb6348bcec72981b8c31264f4960549c53b6d1e83,bot,427,8439.272881999994
0xd659274acac3f76d8811ddfac03adf270226fe07,active_retail,147,1836.047007999999
0xb7a3b4d8fc26af155bce26d49cb248bc2ce48d0c,sophisticated,231,-20325.026387
0xc49fe658479db29e1a2fefebf0735f657dca9e05,bot,5697,65946.47089300002
0x13ce86e3a660c1571805fe5d04686972c16aa40b,active_retail,221,102.97908899999832
0x93d2d890684a32d691e6c8a5413e8b87bf93d52a,bot,7058,-5799.969870000006
0x4cbfc0c337dde457f7963b62fb57678ca1286cf0,bot,525,104082.25778799965
0xe2b39314da6cf1f8bc91044924d09cec27f56f19,active_retail,680,-4.497617000000105
0xdbf16bcffa41bd95faec2640daa2c95ab2bd86b5,bot,320,-9460.702067999899
0xf0badb774d036601892ac751d1a25d8492dfe4cb,bot,1217,27891.215945999993
0x5f4d50b6e3dadb3f80001ad5465ad91b058725b5,bot,8332,-167.68697200000037
0xd01a4c55755eed0ca081e8b4845e3139f9eff119,sophisticated,221,3018.792241999945
0x40765f546468428bb33291b7e68d8bdd5b208153,active_retail,146,9349.620152999967
0xe2e3c801656a73b2bfd88a41bcf9226d53be67ff,bot,371,228365.29823899997
0xbcd6358b674834ec8101c238ec0d52540f0c0790,active_retail,522,376890.64516300004
0xef02161edfb4056bd5fa18a5e91a3a8d97775ebd,sophisticated,250,29759.796083999998
0x37952e5714e76123a5f3a9623486178871bc7f02,active_retail,146,33333.347700000006
0x5f012bd7112a28d84ddc54ca4179e20903d09f44,sophisticated,393,3513.6856430000025
0x8750a020d6bcb40715e4376fc0575ccfba100f4e,bot,223,16.357969000000594
0x3a6238d6a4d545e27dae2af2d04475efce8b1106,bot,207,325536.65276900004
0xe3494893be6952fa237b9ff7b69303cd0c06db20,bot,318,17984.032990999996
0x801ed774db6a5981945a825074a6b91788f6ad90,bot,1629,-77119.08051599984
0xac549df33b1ae1a2b1589a780dda21df5b161a9d,active_retail,290,14.026351000000432
0x0f7f87c2065824ed3c88977af11a0878f63fd80c,bot,422,15.568963000002896
0x49a207e3b96b997954e1eb07b52239a0ab29b036,bot,749,-835.9624359999968
0x3d8920c114631fc43ad4fa0d77ac1cc12823b02c,bot,2027,120675.61944800016
0xc4cf7b4ccc72c3b63736410ddc7dcde73ed8129a,bot,166,102152.512282
0x6d3f788a850a6bf83c2a065bf35f09cfadad6815,active_retail,194,-30.032401000000423
0x9b13c902dd571c233602e3a792301603d5e1b2c6,active_retail,361,-214.0490390000019
0xcafd5a89d69bae29f21b3b33ede9692270a51455,bot,248,18903.011190999998
0x69c49cae990f6f3ab5a863257772fa521f025aea,bot,218,83114.553856
0x314033bc829bf9e661a1ff64a30eb64fd1346c7f,active_retail,151,10471.044252999991
0x26b4c1dc47b15c3e11fbc3375541c3760b1b93bd,bot,122,-0.12405499999994163
0x5e5152a9cddd077d884e0fa36404d1264efdba30,bot,260,50997.86634999999
0x06e47e6d5b897b7e3992818f2ff44cb022b47cf4,active_retail,165,54.264044000001334
0x2b6d91560fcb88d0e841988f58e10d4fd3385d26,sophisticated,387,5702.817424999999
0x9d333d3122c0e38de533b2e59343a92df9e1fa02,bot,678,705075.9407220001
0x3b7ed1242417f4b8f6992b5dd53aa9415a2c23eb,bot,763,33398.274412000006
0x94f199fb7789f1aef7fff6b758d6b375100f4c7a,bot,307,350686.25069899997
0x5efe377f8c16c891b2ba0615c770bb13426f569d,bot,131,13975.177583999997
0xaeb0462736bf3bcd10fc9cc8f30b7ca4221672fc,sophisticated,378,21084.93203100001
0x3e2441b2d9459cd04a78ba409d612d82b41b098a,sophisticated,198,-504.7916889999978
0xa30ba1d8741cf19d70beb99b48d9fe9bc647cf66,active_retail,512,-43.708588000004966
0x5b5773671a1366e78956d0af7790af0583654371,active_retail,411,46407.636463999996
0xa8ebd84263575ba4c861cd2acd1b2d09facc01c7,bot,743,104687.73338599998
0xee50a31c3f5a7c77824b12a941a54388a2827ed6,bot,6449,928838.888167002
0xe0e855342798f2a3889a3e9ebd68662df54634b6,active_retail,230,2288.3854570000003
0x98779ce334b6b4b563dd0d4fcc2a4df5c6a77a7f,bot,922,-2.7502099999999787
0x6a7766aea7c10a171d69db51abdee32f5cde92d4,bot,171,0.002581000000645872
0x7c7d4214bb50ecdc2d1146d8e3d588a61872920a,bot,919,-1.065999999999974
