date,n_trades_total,bot_share,retail_share,sophisticated_share,casual_share,one_shot_share,bot_share_ma4w,bot_share_ma13w,bot_share_ma52w,bot_share_z52w
2023-06-05,1989,0.6515837104072398,0.1747109100050276,0.1422825540472599,0.0296631473102061,0.0017596782302664,0.6741113124018956,0.6603935081127754,0.5746028774222276,0.35385088625778915
2023-06-12,1455,0.6467353951890035,0.1972508591065292,0.1298969072164948,0.0240549828178694,0.002061855670103,0.6667498856085954,0.6571419212737459,0.5771790387710409,0.3251517868774113
2023-06-19,9981,0.5087165614667869,0.2561366596533413,0.1598537220719366,0.07063420498948,0.004658851818455,0.6316167366709708,0.6494435706580161,0.574818263691584,-0.3140980266034687
2023-06-26,2733,0.6255031101353824,0.2248444932308818,0.1258690084156604,0.0228686425173801,0.0009147457006952,0.6081346942996031,0.6600549484595551,0.5765077585730438,0.23669714296851138
2023-07-03,2690,0.6122676579925651,0.1631970260223048,0.203903345724907,0.0197026022304832,0.0009293680297397,0.5983056811959345,0.6602229734333421,0.5776613037156091,0.16995715744866824
2023-07-10,3016,0.6044429708222812,0.1777188328912466,0.1816976127320955,0.0353116710875331,0.0008289124668435,0.5877325751042539,0.6536755160985552,0.5784982308126926,0.12948870227864137
2023-07-17,3712,0.6245959051724138,0.209051724137931,0.1369881465517241,0.0276131465517241,0.0017510775862068,0.6167024110306606,0.642886810729075,0.5798951300357144,0.2264813814030332
2023-07-24,5874,0.5863976847122915,0.2274429690160027,0.1356826693905345,0.0463908750425604,0.0040858018386108,0.6069260546748879,0.6319276199348377,0.5800863816438491,0.032472170497994605
2023-07-31,5403,0.5967055339626134,0.2171016102165463,0.145752359800111,0.0377568017767906,0.0026836942439385,0.6030355236674,0.6228470984277533,0.5805612145672423,0.0843039224046479
2023-08-07,5364,0.6640566741237882,0.1756152125279642,0.1315249813571961,0.0278709917971662,0.0009321401938851,0.6179389494927767,0.6281435956295929,0.5828805328882575,0.4289175546770883
