total_trades,total_usd_volume,participations_bot,participations_active_retail,participations_sophisticated,participations_casual,participations_one_shot,participation_volume_bot,participation_volume_active_retail,participation_volume_sophisticated,participation_volume_casual,participation_volume_one_shot,participations_unclassified,participation_volume_unclassified,active_wallets,flagged_active,total_participations,share_bot,share_active_retail,share_sophisticated,share_casual,share_one_shot,new_wallets,date,total_usd_volume_ma4w,total_usd_volume_ma13w,total_usd_volume_ma52w,total_usd_volume_z52w,new_wallets_ma4w,new_wallets_ma13w,new_wallets_ma52w,new_wallets_z52w,week
1654,493817.07693099976,2237.0,453.0,496.0,115.0,7.0,718295.7309169997,99302.43583999998,124036.871128,45931.869244,67.246733,0.0,0.0,317,5,3308,0.6762394195888755,0.13694074969770254,0.14993954050785974,0.03476420798065296,0.002116082224909311,77,2023-06-05,816437.0989354996,882053.2541507689,498119.3651428147,-0.006941145671432776,87.25,206.53846153846155,135.77777777777777,-0.3599370059176604,2023-W23
1468,328997.37024799973,1870.0,585.0,405.0,73.0,3.0,443186.049952,36792.73790399999,163380.13253099995,14290.591558999997,345.22855000000004,0.0,0.0,280,2,2936,0.6369209809264306,0.19925068119891007,0.13794277929155313,0.02486376021798365,0.0010217983651226157,99,2023-06-12,717774.5810227497,888377.1595889996,492079.2938965713,-0.2677527462974444,92.0,199.92307692307693,134.46428571428572,-0.22110148189607579,2023-W24
9187,2292033.0567369973,9339.0,4706.0,2954.0,1284.0,91.0,3026573.785811997,718462.586795,662726.03891,166940.68870100006,9363.013255999998,0.0,0.0,1313,3,18374,0.5082725590508327,0.25612278219222817,0.1607706541852618,0.06988135408729727,0.004952650484380102,928,2023-06-19,873906.3719922492,998906.1609168457,554146.6650289998,2.536469703883627,292.25,227.53846153846155,161.82758620689654,3.5521800087786994,2023-W25
3129,572858.060689999,3775.0,1409.0,861.0,206.0,7.0,841753.4989899999,92317.46663899996,164651.924355,46651.628634,341.60276200000004,0.0,0.0,562,2,6258,0.6032278683285395,0.22515180568871845,0.13758389261744966,0.03291786513263023,0.0011185682326621924,69,2023-06-26,921926.391151499,838272.7724526918,554770.3782176997,0.02686616108803133,293.25,177.92307692307693,158.73333333333332,-0.4220443605597328,2023-W26
2578,619561.3500779994,3266.0,1017.0,754.0,113.0,6.0,943128.0777779998,78640.905978,187182.21548700007,29209.409464,962.091449,0.0,0.0,437,0,5156,0.6334367726920093,0.19724592707525213,0.14623739332816135,0.02191621411947246,0.0011636927851047323,64,2023-07-03,953362.4594382489,758046.2086785381,556860.4095680319,0.09470900469702696,290.0,167.07692307692307,155.67741935483872,-0.43711376806809604,2023-W27
2731,658580.3205609989,3369.0,865.0,1051.0,173.0,4.0,961991.8261869987,122703.03339,211074.92337500004,21202.205212,188.652958,0.0,0.0,494,1,5462,0.6168070303917979,0.15836689857195166,0.1924203588429147,0.03167337971439033,0.0007323324789454412,121,2023-07-10,1035758.1970164987,752531.1182064611,560039.1567865622,0.1512480037989974,295.5,165.76923076923077,154.59375,-0.1627493283325666,2023-W28
3402,690454.4910939997,4127.0,1350.0,1151.0,167.0,9.0,946267.2916340004,182222.4486740001,231107.321101,19052.274109999995,2259.646669,0.0,0.0,513,5,6804,0.6065549676660787,0.1984126984126984,0.16916519694297472,0.024544385655496766,0.0013227513227513227,141,2023-07-17,635363.5556057493,775761.3193723841,563991.1366140603,0.19708737765088627,98.75,168.76923076923077,154.1818181818182,-0.0648784880790186,2023-W29
3721,1039701.4640719992,4776.0,1474.0,950.0,232.0,10.0,1507081.052678999,322234.06186799967,198617.76483099992,43111.44177599999,8358.60699,0.0,0.0,594,5,7442,0.6417629669443697,0.19806503628056973,0.12765385649019081,0.031174415479709755,0.0013437248051599033,563,2023-07-24,752074.4064512493,832407.7013340762,577982.6168334115,0.7247087511303691,222.25,207.6153846153846,166.2058823529412,1.8716365727753106,2023-W30
6753,1369436.9829189992,7747.0,3078.0,1958.0,660.0,63.0,1769098.7011089996,490357.3856559998,367441.77844,106711.95696599995,5264.143667,0.0,0.0,1173,6,13506,0.5735969198874574,0.22789871168369613,0.14497260476825113,0.04886717014660151,0.0046645935139937806,271,2023-07-31,939543.3146614992,901819.8304767685,600595.5987215712,1.1980036668562137,274.0,220.92307692307693,169.2,0.48565773527818457,2023-W31
5019,1185165.0971689995,5995.0,2167.0,1556.0,305.0,15.0,1587092.020153,391377.329242,328661.69956700003,43934.954088,19264.191288,0.0,0.0,785,2,10038,0.5972305240087666,0.21587965730225145,0.1550109583582387,0.03038453875273959,0.0014943215780035865,238,2023-08-07,1071189.5088134995,924810.5068699992,616833.6403451108,0.8880267563453206,303.25,218.69230769230768,171.11111111111111,0.3232683396399553,2023-W32
