week,wallet_type,alpha,alpha_se,r2,n_trades,n_bins_used,mean_cal_error,longshot_fraction,date
2024-W24,bot,0.9479471762657738,0.0106848898412396,0.8690314800178564,77930,10,0.0634351340947003,0.4617220582574105,2024-06-10
2024-W24,sophisticated,0.8214077161962862,0.0274457651600904,0.8796612187449622,3566,10,0.0613853056646102,0.4357823892316321,2024-06-10
2024-W25,active_retail,0.6766567536339431,0.0101658026384553,0.9120159413378222,13300,10,0.0741428571428571,0.491203007518797,2024-06-17
2024-W25,bot,1.2034477424204049,0.027498857515148,0.9292689759568996,121704,10,0.0443945967264839,0.4335108131203576,2024-06-17
2024-W25,casual,0.5525613028800398,0.1170476210758273,0.8554782838060997,305,10,0.110655737704918,0.3278688524590163,2024-06-17
2024-W25,sophisticated,1.1767870977474588,0.1137580064900723,0.8875018115786403,10271,10,0.0465047220329082,0.4759030279427514,2024-06-17
2024-W26,active_retail,0.527590746040823,0.0088736911848474,0.91217056305178,13326,10,0.1214993246285456,0.3565210865976287,2024-06-24
2024-W26,bot,0.8055273503586169,0.0057402655751986,0.9191646197453276,106619,10,0.0521487727328149,0.390502630863167,2024-06-24
2024-W26,casual,0.5159362646718637,0.1047047209322551,0.9196560390332492,220,7,0.1163636363636363,0.2590909090909091,2024-06-24
2024-W26,sophisticated,0.7209546951841042,0.0170889484013959,0.8587537138346516,7860,10,0.073944020356234,0.4232824427480916,2024-06-24
2024-W27,active_retail,0.5902339078060572,0.0081023897995513,0.9246049646858486,16037,10,0.0943412109496788,0.4234582527904221,2024-07-01
2024-W27,bot,0.828254102193899,0.0061138235821442,0.9609372846292876,142984,10,0.0429306775583282,0.4610166172438874,2024-07-01
2024-W27,casual,0.7844440942887702,0.1752444036734975,0.3419653798100374,427,10,0.1666276346604215,0.2833723653395784,2024-07-01
2024-W27,sophisticated,0.7814281177200568,0.0155115666715541,0.9565961079032052,13828,10,0.053066242406711,0.4742551345096905,2024-07-01
2024-W28,active_retail,0.4911814285105195,0.0049136777056375,0.8963213989075887,31452,10,0.1220272160752893,0.4457268218237314,2024-07-08
