date,week,wallet_type,pnl,cumulative_pnl
2024-07-22,2024-W30,casual,-33609.25550300001,-877915.381285
2024-07-29,2024-W31,casual,-32013.328646,-909928.709931
2024-08-05,2024-W32,casual,-22751.386525,-932680.096456
2024-08-12,2024-W33,casual,-27365.766609,-960045.863065
2024-08-19,2024-W34,casual,-23421.876077,-983467.7391420001
2024-08-26,2024-W35,casual,-32388.51750200001,-1015856.2566440001
2024-09-02,2024-W36,casual,-232544.8505,-1248401.107144
2024-09-09,2024-W37,casual,-98760.826925,-1347161.9340690002
2024-09-16,2024-W38,casual,-37065.945869,-1384227.879938
2024-09-23,2024-W39,casual,-9844.301599999995,-1394072.181538
2024-09-30,2024-W40,casual,-272829.819633,-1666902.001171
2024-10-07,2024-W41,casual,-485166.563578,-2152068.564749
2024-10-14,2024-W42,casual,-926707.320269,-3078775.8850180004
2024-10-21,2024-W43,casual,-2148204.782095,-5226980.6671130005
2024-10-28,2024-W44,casual,-191299.193421,-5418279.860534
2024-11-04,2024-W45,casual,-678416.898865,-6096696.759399001
2024-11-11,2024-W46,casual,-41893.740956,-6138590.500355001
2024-11-18,2024-W47,casual,-31352.993374,-6169943.493729001
2024-11-25,2024-W48,casual,-70173.986926,-6240117.480655001
2024-12-02,2024-W49,casual,-82645.60545900001,-6322763.0861140005
2024-12-09,2024-W50,casual,146411.379904,-6176351.70621
2024-12-16,2024-W51,casual,190144.96952,-5986206.736690001
2024-12-23,2024-W52,casual,-53547.835077,-6039754.5717670005
2024-12-30,2025-W01,casual,-70736.938498,-6110491.510265
2025-01-06,2025-W02,casual,-248732.153775,-6359223.66404
2025-01-13,2025-W03,casual,-84573.63758099999,-6443797.301621
2025-01-20,2025-W04,casual,-28103.333035000003,-6471900.634656001
2025-01-27,2025-W05,casual,-97549.379287,-6569450.013943001
2025-02-03,2025-W06,casual,21806.928814000006,-6547643.085129
2025-02-10,2025-W07,casual,-27223.018386,-6574866.103515
2025-02-17,2025-W08,casual,12012.337398000014,-6562853.766117001
2025-02-24,2025-W09,casual,-51309.872942,-6614163.639059001
