date,efficiency,efficiency_ma4w,efficiency_ma13w,efficiency_ma52w,efficiency_z52w,r2_bot,r2_active_retail,r2_sophisticated,r2_casual,r2_one_shot
2023-11-27,0.9657643038255916,0.9185734589639479,0.7427021487788684,0.7077068978626961,1.1572046622283967,0.9193691919951148,0.9657643038255916,0.7253008728953938,,
2023-12-04,0.9074958710163604,0.9080681028825525,0.7681770662694789,0.7137611091703828,0.8717878615066802,0.9185363509431436,0.9074958710163604,0.8972901797212948,,
2023-12-11,0.7369553109061298,0.88396591757325,0.7657753927799905,0.7144432915743755,0.10285560499319402,0.9734808102926288,0.7369553109061298,0.8718303372965692,,
2023-12-18,0.7906804578618012,0.8502239859024708,0.7918386491495399,0.7166214963254448,0.34284628253455257,0.9462704190754988,0.7906804578618012,,,
2023-12-25,0.9334678298562444,0.842149867410134,0.8553619185861228,0.7226450055901892,0.9762592280447508,0.93770949910365,0.9334678298562444,0.7473658008713032,,
2024-01-01,0.9824759445954752,0.8608948858049127,0.8717260267679927,0.7296674634011429,1.1640955288080188,0.924972422748498,0.9824759445954752,0.8408576119728455,,
2024-01-08,0.9287338501438268,0.9088395206143369,0.8729955915615701,0.7349060525259504,0.8947118736634389,0.9565169455602772,0.9287338501438268,0.9539936136943398,,
2024-01-15,0.932274508101215,0.9442380331741903,0.8742714766650591,0.7399667821560854,0.889937628350908,0.9223743882351962,0.932274508101215,0.8791613626505755,,
2024-01-22,0.6031834263876195,0.8616669323070341,0.8637706434295341,0.7365471982618736,-0.6220427502519802,0.8883682498360473,0.6031834263876195,0.8203314224995066,,
2024-01-29,0.854687779731155,0.829719891090954,0.8726345241888939,0.7394286758586854,0.5423905520204987,0.9140459995982748,0.854687779731155,0.6558535238637486,,
2024-02-05,0.2476611789735261,0.6594517232983789,0.818645592160554,0.7277199259328483,-2.1508986215242487,0.8595660057289627,0.2476611789735261,0.5545880768261553,,
2024-02-12,0.3595671966228227,0.5162748954287808,0.7821996801974372,0.7191582345535454,-1.5802622994604631,0.7337730663461077,0.3595671966228227,0.6015464348387849,,
2024-02-19,0.9393671809372652,0.6003208340661923,0.7832549876122333,0.7241629833349935,0.9466721595854292,0.9647723513248928,0.9393671809372652,0.6743634713706615,,
2024-02-26,0.6557530423869405,0.5505871497301387,0.7594079675015679,0.7279133478544366,-0.32109363379947403,0.8356610431612199,0.6557530423869405,0.9590019546965836,,
2024-03-04,0.6399809632130262,0.6486670957900137,0.7388298976705421,0.7412948931870699,-0.5075128862461917,0.9061377640773473,0.6399809632130262,0.84523578225753,,
2024-03-11,0.8549605216181938,0.7725154270388565,0.7479072215714702,0.7391863120833027,0.5850747769612663,0.886534830645705,0.8549605216181938,0.5656365304291544,,
2024-03-18,0.8477951757295913,0.7496224257369379,0.7523006614074539,0.740894064309998,0.5385496141042692,0.9602274813963873,0.8477951757295913,0.7736133863065127,,
2024-03-25,0.7236194583870326,0.766589029736961,0.7361584789867452,0.7393287169985754,-0.07919837113833027,0.9072274859625378,0.7236194583870326,0.8860027767655149,,
2024-04-01,0.5863117164368554,0.7531717180429183,0.7056843075899285,0.7357446256230941,-0.7483357172311905,0.922482176934257,0.5863117164368554,0.6762671617784315,,
2024-04-08,0.1147713838836439,0.5681244336092808,0.6430718101852991,0.7219452202511064,-2.7847994527768605,0.9070988790781288,0.1147713838836439,0.8860531881889314,,
2024-04-15,0.4585774535199044,0.47082000305685906,0.6066335752175058,0.7162198340178193,-1.1761035433684481,0.9024407343621142,0.4585774535199044,0.6856088525128625,,
2024-04-22,,0.3865535179468012,0.6069210876199964,0.7162198340178193,,0.9202244201119872,,0.8395716078043475,,
2024-04-29,0.5813040359012006,0.384884291101583,0.5841391089675002,0.7133492851217211,-0.6069315013667796,0.925447907483259,0.5813040359012006,0.6105788338796412,,
2024-05-06,0.6068216314373049,0.5489010402861366,0.6140691466728151,0.7143160556020204,-0.4954294294548825,0.8868582329455281,0.6068216314373049,0.649923378607977,,
2024-05-13,0.2945498597033368,0.4942251756806142,0.6086510352628579,0.7046556900046711,-1.8197908582218747,0.8434422188530349,0.2945498597033368,0.4066523641599128,,
2024-05-20,0.7836565253396506,0.5665830130953733,0.59567514729639,0.7037005932329788,0.3554908590442419,0.9088888752204294,0.7836565253396506,0.8818312419967257,,
2024-05-27,0.8257964204127293,0.6277061092232554,0.6098454287985392,0.7062442562992236,0.5356083672372574,0.9478918731061248,0.8257964204127293,0.6554304082206003,,
2024-06-03,0.9244908624332338,0.7071234169722376,0.6335545870668898,0.7106982686693055,0.9584509801790575,0.9167934836997472,0.9244908624332338,0.7964494075130696,0.4344040051876916,
2024-06-10,0.8490891501271693,0.8457582395781957,0.6330653061093044,0.7162879867218674,0.595451620124691,0.956977879596886,0.8490891501271693,0.8067844051670268,,
2024-06-17,0.7267621429764816,0.8315346439874034,0.6229792200465453,0.7149517441395618,0.05301910730705425,0.9809434137831696,0.7267621429764816,0.9319084376451988,,
2024-06-24,0.8836313989921185,0.8459933886322508,0.6363135484303024,0.7185442151482946,0.7368250874362963,0.9313439497923636,0.8836313989921185,0.8218048157929928,0.5518654307824162,
2024-07-01,0.8762818276719927,0.8339411299419406,0.6604777243665639,0.7283994719781988,0.6720834363367806,0.9548989527001804,0.8762818276719927,0.9401379627786984,0.8872009417912499,
2024-07-08,0.907279912816079,0.8484888206141679,0.7265201017776001,0.7319770807949564,0.7995814396919962,0.911195046244027,0.907279912816079,0.8753079974547132,0.7597046098881995,
2024-07-15,0.931095177147761,0.8995720791569879,0.7658965787465881,0.7367483846749971,0.8795705265983264,0.9709048176055136,0.931095177147761,0.953844583102066,0.5665016742644373,
2024-07-22,0.8509828661614137,0.8914099459493117,0.7724416777784978,0.7366729726210935,0.5174359961397624,0.9295347734280484,0.8509828661614137,0.8989856910586689,0.6107824017344217,
2024-07-29,0.632266974029979,0.8304062325388082,0.7763619037884038,0.7345983914621833,-0.4621827514494776,0.8643563259849804,0.632266974029979,0.8915639019769831,-0.0238804761124227,
2024-08-05,0.7751827915098021,0.797381952212239,0.789312762255519,0.7323841781073497,0.1941716036658424,0.9501944982976264,0.7751827915098021,0.9403978488647226,0.5644877725524112,
2024-08-12,0.5477189041400259,0.7015378839603051,0.8087873041352645,0.7328804298113161,-0.841786194307554,0.8428402652953187,0.5477189041400259,0.7614635549644929,0.6426865482831549,
2024-08-19,0.7673890069948794,0.6806394191686715,0.807535956570282,0.7326362747497888,0.15802693450022984,0.9185784619510368,0.7673890069948794,0.94131768283623,,
2024-08-26,0.5986178806132216,0.6722271458144823,0.7900606842780122,0.7274732680812687,-0.5857779770951808,0.7845028163959347,0.5986178806132216,0.6393499624818817,0.1959407165334588,
2024-09-02,0.5250568655047352,0.6096956643132155,0.7593349922065891,0.7259384681687826,-0.9084218448622919,0.7862613730807045,0.5250568655047352,0.5178446570858872,0.8515035974895958,
2024-09-09,0.8488556480071758,0.6849798502800031,0.7593170305050513,0.7283486089499276,0.5487929538763764,0.9252116073076916,0.8488556480071758,0.9232460993708268,0.7751015226959632,
2024-09-16,0.5594828286751798,0.6330033057000781,0.7464493909434127,0.7304588972561534,-0.7865257432150083,0.8070938338156837,0.5594828286751798,0.773219632953437,0.7543184133713148,
2024-09-23,0.3198746447268926,0.5633174967284958,0.7030834867691644,0.7346198642668638,-2.0035494589454896,0.6022804166694278,0.3198746447268926,0.388466519794919,0.4915011028246074,
2024-09-30,0.559153391532262,0.5718416282353775,0.6786889916814929,0.7304906653119833,-0.8222096657030684,0.7784118193225887,0.559153391532262,0.7398545082835952,0.736955313877613,
