date,week,n_trades,longshot_fraction,longshot_winrate,longshot_gap,longshot_gap_ma4w,longshot_gap_ma13w,longshot_gap_ma52w,longshot_gap_z52w
2023-04-24,2023-W17,257,0.3657587548638132,0.2127659574468085,0.1627659574468085,0.1317729197796254,0.06279344744730636,0.047385758685677216,1.5602596384760952
2023-05-01,2023-W18,271,0.3321033210332103,0.2,0.15000000000000002,0.1497823984526112,0.07163141798740455,0.05251647075139335,1.2903889333986494
2023-05-08,2023-W19,1028,0.1994163424124513,0.0439024390243902,-0.006097560975609803,0.09825800820870875,0.06488707119170987,0.04972532638344082,-0.7469379003801827
2023-05-15,2023-W20,548,0.3996350364963503,0.0365296803652968,-0.013470319634703201,0.07329951920912388,0.06414675074643686,0.04685279701897973,-0.8133245732320188
2023-05-22,2023-W21,830,0.3698795180722891,0.0390879478827361,-0.010912052117263905,0.02988001681810578,0.06314013804176438,0.04434128183914305,-0.7521806479768457
2023-05-29,2023-W22,344,0.4244186046511627,0.0890410958904109,0.039041095890410896,0.0021402907907084965,0.05418334141373487,0.04412044075794588,-0.07069272241476388
2023-06-05,2023-W23,578,0.2577854671280277,0.0201342281879194,-0.029865771812080603,-0.0038017619184092036,0.0460455185108113,0.04116099225514482,-0.9881596208302511
2023-06-12,2023-W24,326,0.3865030674846625,0.238095238095238,0.18809523809523798,0.046589627514076096,0.0641277892405858,0.04681230940284071,1.8567151230819432
2023-06-19,2023-W25,2907,0.3099415204678362,0.0721420643729189,0.022142064372918893,0.0548531566366218,0.06908394171064028,0.04589859662395472,-0.317744388077003
2023-06-26,2023-W26,664,0.3569277108433735,0.0548523206751054,0.0048523206751053954,0.04630596283279542,0.06699051489327056,0.044432658197210095,-0.5364826818365378
2023-07-03,2023-W27,688,0.4578488372093023,0.0317460317460317,-0.0182539682539683,0.0492089137223235,0.05958928000388401,0.042271050388548774,-0.8248470487407494
2023-07-10,2023-W28,758,0.3654353562005277,0.111913357400722,0.061913357400722,0.017663443548694504,0.04896723057317032,0.04292579395562122,0.2630214568246737
2023-07-17,2023-W29,852,0.4131455399061033,0.0284090909090909,-0.0215909090909091,0.006730200182737505,0.04066303476897452,0.0408446099863783,-0.8681672682763485
2023-07-24,2023-W30,1252,0.2244408945686901,0.0711743772241993,0.021174377224199292,0.010810714320010979,0.029771374751850734,0.04022991521256021,-0.2690228526705103
2023-07-31,2023-W31,1211,0.3113129644921552,0.013262599469496,-0.036737400530504005,0.006189856250877052,0.015406959326427348,0.037897572311255234,-1.051305613933903
2023-08-07,2023-W32,1085,0.392626728110599,0.0492957746478873,-0.0007042253521127029,-0.009464539437331623,0.015821831297465592,0.036762225321156174,-0.533546826108861
2023-08-14,2023-W33,1036,0.3252895752895753,0.059347181008902,0.009347181008902,-0.0017300169123788478,0.01757702365466599,0.03597893834080605,-0.3840963574990391
2023-08-21,2023-W34,855,0.3801169590643274,0.083076923076923,0.033076923076923004,0.00124561955080208,0.02096079097729575,0.03589832680569819,-0.04128471456951885
2023-08-28,2023-W35,734,0.4141689373297003,0.0625,0.012499999999999997,0.013554969683428082,0.018919168216494912,0.03526593959473338,-0.3373031373441933
2023-09-04,2023-W36,494,0.451417004048583,0.1076233183856502,0.0576233183856502,0.028136855617868807,0.025649098231704973,0.03585429166817856,0.32649756121840234
2023-09-11,2023-W37,545,0.3394495412844037,0.1135135135135135,0.0635135135135135,0.04167843874402168,0.016065888648495397,0.036563502484725605,0.4087040574928228
2023-09-18,2023-W38,565,0.3150442477876106,0.0674157303370786,0.01741573033707859,0.037763140559060576,0.015702324491892298,0.03608480818103443,-0.2865128353914371
2023-09-25,2023-W39,675,0.3481481481481481,0.1787234042553191,0.12872340425531908,0.06681899162289034,0.02523086938267797,0.038344286134065764,1.370489887128452
2023-10-02,2023-W40,759,0.3372859025032938,0.08203125,0.03203125,0.060420974526477794,0.02909896309452168,0.03819397574992134,-0.09460061302404693
2023-10-09,2023-W41,988,0.3674089068825911,0.0606060606060606,0.010606060606060598,0.04719411129961457,0.025152247956470804,0.03755239632797109,-0.4177608787437588
2023-10-16,2023-W42,1306,0.3246554364471669,0.0283018867924528,-0.021698113207547203,0.037415650413458124,0.02514400148596018,0.03620579383852749,-0.8995459817406392
2023-10-23,2023-W43,1131,0.3430592396109637,0.0360824742268041,-0.013917525773195903,0.0017554179063293792,0.022444624332314398,0.03509194229160031,-0.7649167200302643
2023-10-30,2023-W44,1227,0.2991035044824776,0.0871934604904632,0.037193460490463195,0.0030459705289451787,0.028131613641619566,0.03513762746983645,0.03244865705788631
2023-11-06,2023-W45,630,0.2873015873015873,0.005524861878453,-0.044475138121547006,-0.010724329152956721,0.02476462035166308,0.03344373884023255,-1.2226216145308533
2023-11-13,2023-W46,1213,0.2959604286892003,0.0417827298050139,-0.008217270194986102,-0.007354118399816446,0.023413508720594764,0.03257580115199883,-0.6440795801839951
2023-11-20,2023-W47,866,0.3221709006928406,0.064516129032258,0.01451612903225799,-0.0002457046984529728,0.021985755332543606,0.032207236414861264,-0.2820409458850634
2023-11-27,2023-W48,745,0.3557046979865771,0.0754716981132075,0.0254716981132075,-0.003176145292766896,0.022983578264328803,0.03207252564882819,-0.10631188929532726
2023-12-04,2023-W49,688,0.4244186046511627,0.047945205479452,-0.002054794520548006,0.007428940607482854,0.01839295419462125,0.03140336250825218,-0.5427049566268841
2023-12-11,2023-W50,661,0.3282904689863842,0.0460829493087557,-0.003917050691244303,0.008503995483418304,0.013205987717332186,0.030724123792877252,-0.5656670564736473
2023-12-18,2023-W51,545,0.3724770642201835,0.0246305418719211,-0.025369458128078903,-0.0014674013066659193,0.009914819373858534,0.029856106485405248,-0.8948353651559995
2023-12-25,2023-W52,1321,0.4193792581377744,0.0342960288808664,-0.015703971119133603,-0.011761318614751194,-0.0011949787318685963,0.0298288323155318,-0.7375394240479287
2024-01-01,2024-W01,4405,0.3975028376844495,0.0159908623643632,-0.0340091376356368,-0.019749904393523393,-0.006275008549994503,0.027177769017805057,-0.9956445359934258
2024-01-08,2024-W02,1213,0.4542456718878813,0.072595281306715,0.022595281306714995,-0.013121821394033568,-0.005352760803790319,0.028573832119857274,-0.09884540409202018
2024-01-15,2024-W03,1349,0.4114158636026686,0.1081081081081081,0.0581081081081081,0.007747570165013181,0.0007861792974139344,0.03031545228253007,0.46325760836816937
2024-01-22,2024-W04,879,0.3868031854379977,0.0735294117647058,0.0235294117647058,0.01755591588597303,0.0036667129541756043,0.029669039871411777,-0.1025318404284029
2024-01-29,2024-W05,878,0.3382687927107061,0.138047138047138,0.088047138047138,0.04806998480666673,0.0075785343046890505,0.03068713131503513,0.9493221041294934
2024-02-05,2024-W06,1749,0.2687249857061178,0.1170212765957446,0.0670212765957446,0.05917648362892413,0.01615518159063456,0.030407176107868274,0.608055951923575
2024-02-12,2024-W07,1134,0.3165784832451499,0.1086350974930362,0.05863509749303619,0.059308230975156154,0.02129767141279012,0.03160873863362193,0.4493798677865471
2024-02-19,2024-W08,1163,0.349097162510748,0.0960591133004926,0.0460591133004926,0.06494065635910286,0.023724054818038933,0.032452684792410674,0.2266676048380372
2024-02-26,2024-W09,1340,0.3231343283582089,0.0808314087759815,0.030831408775981492,0.05063672404131373,0.024136340253636937,0.03005560703704888,0.013503356540230776
